Age,Gender,Location,Income Level,Occupation,Transaction History,Product Usage,Online Activity,Offline Activity,Interaction History,Lifestyle,Financial Goals,Interests,Email Open Rate,Click Through Rate,App Usage,Social Media Interactions,Product Preference
29,Male,Delhi,Medium,Analyst,Rare,Credit Card,Low,Medium,Rare,Rural,Saving,Tech,0.28234238193173233,0.5205851198879166,Weekly,Active,Credit Card
39,Male,Delhi,Low,Analyst,Rare,Loan,Low,Low,Occasional,Urban,Investing,Travel,0.9374485607401548,0.1321661063748597,Monthly,Active,Loan
61,Male,Gujarat,Low,Student,Occasional,Loan,High,Medium,Frequent,Rural,Investing,Finance,0.2047773819306884,0.7395354304929824,Weekly,Inactive,Loan
42,Female,Hyderabad,High,Manager,Occasional,Loan,High,High,Occasional,Rural,Luxury Vacation,Tech,0.166539232099832,0.08604556517420259,Weekly,Inactive,Loan
44,Female,Mumbai,Low,Executive,Frequent,Credit Card,High,Medium,Occasional,Suburban,Luxury Vacation,Travel,0.18183854974819902,0.17715066580137007,Monthly,Active,Credit Card
59,Female,Mumbai,Medium,Software Engineer,Frequent,Credit Card,Medium,High,Occasional,Suburban,Investing,Travel,0.7298691760937669,0.1492264815531631,Weekly,Inactive,Credit Card
45,Female,Delhi,Low,Software Engineer,Frequent,Loan,Low,Low,Frequent,Urban,Luxury Vacation,Finance,0.8880198442464752,0.9390334041664841,Weekly,Inactive,Loan
33,Male,Gujarat,Low,Software Engineer,Occasional,Loan,High,High,Occasional,Suburban,Luxury Vacation,Sports,0.3933674106332681,0.6981560032046488,Monthly,Active,Loan
32,Female,Delhi,Low,Executive,Rare,Loan,Medium,Low,Occasional,Suburban,Investing,Sports,0.13607990436635675,0.41128592916476003,Daily,Active,Loan
64,Female,Delhi,High,Manager,Frequent,Credit Card,Low,Low,Rare,Suburban,Saving,Tech,0.58572199740834,0.822204150848802,Monthly,Inactive,Credit Card
61,Female,Gujarat,Low,Engineer,Occasional,Loan,Medium,High,Frequent,Rural,Luxury Vacation,Sports,0.20993495832897613,0.21595940952226433,Monthly,Active,Loan
20,Male,Hyderabad,Medium,Manager,Frequent,Credit Card,Low,Low,Rare,Suburban,Luxury Vacation,Finance,0.06415144736523481,0.9310932790450988,Monthly,Inactive,Credit Card
54,Female,Mumbai,Medium,Analyst,Occasional,Loan,High,High,Rare,Urban,Saving,Sports,0.8862313783824761,0.6969973208791025,Daily,Inactive,Loan
24,Male,Hyderabad,Medium,Analyst,Rare,Loan,Medium,Medium,Rare,Urban,Saving,Finance,0.870841276333676,0.5595806410081322,Monthly,Inactive,Loan
38,Female,Jaipur,Medium,Manager,Occasional,Credit Card,Medium,Low,Rare,Suburban,Luxury Vacation,Tech,0.9759101602592737,0.7946484487033281,Daily,Inactive,Credit Card
26,Male,Jaipur,Low,Manager,Rare,Credit Card,Medium,Medium,Occasional,Suburban,Luxury Vacation,Sports,0.4740047549061329,0.6447809814251584,Weekly,Inactive,Credit Card
56,Male,Jaipur,High,Executive,Frequent,Loan,Low,Medium,Rare,Urban,Saving,Finance,0.29400119821042214,0.8871092750104823,Monthly,Active,Loan
35,Female,Gujarat,Medium,Executive,Rare,Loan,Low,High,Frequent,Rural,Luxury Vacation,Finance,0.7697837455704024,0.8291526600744221,Weekly,Active,Loan
21,Male,Delhi,Medium,Student,Occasional,Loan,Medium,High,Occasional,Suburban,Saving,Finance,0.18049493208391276,0.19783050504077881,Weekly,Inactive,Loan
42,Male,Hyderabad,High,Software Engineer,Frequent,Credit Card,Low,Low,Rare,Urban,Saving,Travel,0.24329207681628062,0.23966380054436842,Daily,Inactive,Credit Card
31,Female,Mumbai,High,Student,Frequent,Credit Card,Medium,High,Rare,Rural,Luxury Vacation,Tech,0.2556826262073807,0.06509741377564349,Weekly,Active,Credit Card
26,Female,Jaipur,Medium,Software Engineer,Occasional,Loan,High,Medium,Frequent,Urban,Luxury Vacation,Finance,0.9516194099121801,0.2201989171728025,Weekly,Active,Loan
43,Female,Hyderabad,Medium,Analyst,Rare,Loan,Medium,Medium,Frequent,Rural,Saving,Travel,0.729822918831074,0.3434888649381347,Monthly,Active,Loan
19,Male,Jaipur,High,Student,Occasional,Loan,Medium,Medium,Rare,Urban,Luxury Vacation,Travel,0.13369479258215344,0.02882735517249313,Weekly,Active,Loan
37,Male,Jaipur,Medium,Student,Rare,Credit Card,Low,Low,Rare,Urban,Saving,Finance,0.09284587812390677,0.3149625462106139,Monthly,Inactive,Credit Card
45,Male,Mumbai,Medium,Engineer,Rare,Loan,Low,High,Rare,Rural,Investing,Tech,0.8428148535845117,0.7715458416273004,Weekly,Inactive,Loan
64,Female,Gujarat,Low,Manager,Frequent,Loan,Low,Medium,Rare,Suburban,Investing,Sports,0.8022743230447615,0.8403275980136151,Daily,Active,Loan
24,Male,Delhi,High,Executive,Rare,Credit Card,High,Low,Rare,Urban,Saving,Travel,0.6709945780083552,0.008873289987423316,Weekly,Inactive,Credit Card
61,Male,Gujarat,Low,Student,Frequent,Loan,High,High,Frequent,Suburban,Saving,Finance,0.19610065239661612,0.007147038269232686,Daily,Inactive,Loan
25,Male,Hyderabad,Low,Executive,Occasional,Loan,High,High,Frequent,Urban,Luxury Vacation,Tech,0.4802835388892712,0.14630710825100113,Monthly,Active,Loan
64,Male,Gujarat,High,Software Engineer,Occasional,Credit Card,Low,Medium,Occasional,Rural,Saving,Tech,0.6027259454572739,0.8725770607337897,Monthly,Inactive,Credit Card
52,Male,Hyderabad,Low,Student,Frequent,Credit Card,Medium,Low,Occasional,Suburban,Saving,Finance,0.9321375268403516,0.46927805113235377,Weekly,Inactive,Credit Card
31,Male,Hyderabad,Medium,Software Engineer,Frequent,Loan,Medium,Medium,Frequent,Rural,Luxury Vacation,Travel,0.16942374019741058,0.9829020761679809,Weekly,Inactive,Loan
34,Male,Delhi,Low,Student,Rare,Credit Card,Medium,Medium,Occasional,Rural,Luxury Vacation,Sports,0.5154468071461137,0.8873314657668013,Monthly,Active,Credit Card
53,Female,Mumbai,High,Analyst,Frequent,Credit Card,Low,Low,Rare,Suburban,Investing,Tech,0.157751638878312,0.8901281134730399,Monthly,Active,Credit Card
57,Female,Delhi,Medium,Engineer,Occasional,Credit Card,Low,Medium,Occasional,Suburban,Saving,Sports,0.44384934057415226,0.12847643192877012,Monthly,Inactive,Credit Card
21,Female,Gujarat,Medium,Software Engineer,Frequent,Credit Card,High,Low,Rare,Suburban,Saving,Tech,0.2001349746309229,0.47522934921270843,Daily,Active,Credit Card
19,Male,Hyderabad,Medium,Manager,Frequent,Credit Card,Low,Low,Rare,Rural,Investing,Tech,0.8361862083152113,0.9935905973180188,Weekly,Active,Credit Card
23,Male,Jaipur,Medium,Manager,Frequent,Credit Card,Medium,Medium,Occasional,Rural,Saving,Tech,0.25473627763751294,0.14904423026041924,Monthly,Inactive,Credit Card
59,Female,Jaipur,Low,Analyst,Rare,Credit Card,High,Medium,Occasional,Rural,Luxury Vacation,Travel,0.41710471624402423,0.5742334536181946,Monthly,Active,Credit Card
21,Male,Hyderabad,Low,Analyst,Frequent,Loan,High,High,Rare,Suburban,Saving,Travel,0.4077876524921352,0.3442799919530848,Weekly,Active,Loan
46,Female,Delhi,Medium,Manager,Rare,Credit Card,Low,High,Frequent,Urban,Luxury Vacation,Finance,0.8662949600217585,0.38785814002035524,Weekly,Inactive,Credit Card
35,Male,Mumbai,High,Software Engineer,Rare,Credit Card,High,Low,Occasional,Suburban,Saving,Sports,0.7577974647322603,0.8907925040405011,Daily,Inactive,Credit Card
43,Male,Delhi,Medium,Manager,Frequent,Credit Card,High,Low,Occasional,Urban,Investing,Sports,0.057575489015084025,0.587902569192283,Monthly,Active,Credit Card
61,Female,Hyderabad,Low,Engineer,Rare,Credit Card,Low,Low,Frequent,Rural,Luxury Vacation,Finance,0.06708745716816433,0.7587763893888053,Weekly,Active,Credit Card
51,Female,Hyderabad,Medium,Student,Frequent,Loan,High,High,Occasional,Urban,Luxury Vacation,Travel,0.5511972451307041,0.673234397495241,Daily,Inactive,Loan
27,Female,Mumbai,Low,Engineer,Occasional,Loan,Medium,Medium,Rare,Suburban,Investing,Sports,0.42771902735779344,0.5290156905699694,Monthly,Inactive,Loan
53,Female,Gujarat,Medium,Manager,Occasional,Credit Card,Low,Medium,Frequent,Suburban,Luxury Vacation,Finance,0.27558422053684206,0.791711198770376,Daily,Inactive,Credit Card
31,Female,Gujarat,High,Student,Rare,Loan,Medium,High,Frequent,Suburban,Investing,Tech,0.7926209382074053,0.970732905910384,Weekly,Active,Loan
48,Male,Mumbai,Medium,Manager,Occasional,Loan,Medium,Medium,Rare,Urban,Saving,Sports,0.12863517189899942,0.9668195539557862,Daily,Active,Loan
32,Male,Gujarat,High,Engineer,Frequent,Loan,Medium,Medium,Rare,Suburban,Investing,Travel,0.9740569128701518,0.7894520009933703,Monthly,Inactive,Loan
25,Male,Jaipur,High,Engineer,Rare,Loan,Medium,Medium,Rare,Urban,Saving,Sports,0.024102506752160968,0.487329755749229,Weekly,Inactive,Loan
31,Female,Gujarat,Medium,Software Engineer,Frequent,Loan,High,High,Frequent,Rural,Luxury Vacation,Tech,0.11823072461084361,0.16315895919120127,Monthly,Active,Loan
40,Female,Gujarat,High,Software Engineer,Rare,Credit Card,High,Low,Rare,Urban,Luxury Vacation,Travel,0.311316654275852,0.04447050897189442,Daily,Active,Credit Card
57,Female,Gujarat,High,Engineer,Rare,Credit Card,Low,Medium,Occasional,Rural,Investing,Travel,0.5091490952555031,0.23144496836594408,Daily,Inactive,Credit Card
38,Female,Jaipur,Low,Student,Rare,Credit Card,Low,Medium,Occasional,Urban,Saving,Finance,0.21613615847932388,0.34025799959754344,Daily,Active,Credit Card
33,Female,Gujarat,Low,Software Engineer,Rare,Loan,Medium,Low,Rare,Rural,Investing,Travel,0.7362151488540264,0.12984961591805266,Weekly,Active,Loan
62,Female,Jaipur,High,Software Engineer,Occasional,Credit Card,Medium,Medium,Occasional,Suburban,Luxury Vacation,Finance,0.3575419034259898,0.2247653296124522,Daily,Active,Credit Card
35,Male,Mumbai,Medium,Executive,Occasional,Loan,Low,Medium,Occasional,Urban,Luxury Vacation,Travel,0.038538333396937574,0.08354546456088408,Weekly,Inactive,Loan
64,Male,Delhi,High,Executive,Occasional,Credit Card,Low,Low,Frequent,Rural,Saving,Tech,0.8777219674406442,0.5236769720629788,Daily,Inactive,Credit Card
41,Male,Mumbai,Medium,Software Engineer,Rare,Credit Card,Low,High,Rare,Suburban,Saving,Tech,0.943865673086063,0.12631819117354703,Daily,Active,Credit Card
43,Male,Delhi,Low,Manager,Occasional,Credit Card,Low,High,Occasional,Suburban,Luxury Vacation,Tech,0.6185636224370442,0.7427686299229547,Weekly,Inactive,Credit Card
42,Male,Mumbai,Medium,Student,Rare,Credit Card,Medium,Medium,Rare,Rural,Luxury Vacation,Tech,0.8065363885704051,0.3326497781440827,Weekly,Inactive,Credit Card
62,Female,Delhi,High,Analyst,Occasional,Loan,Low,Medium,Rare,Rural,Saving,Tech,0.12111153869330182,0.6720627142112312,Weekly,Inactive,Loan
58,Female,Delhi,High,Software Engineer,Rare,Credit Card,High,Low,Occasional,Urban,Investing,Sports,0.2688202817866646,0.8825194350803846,Monthly,Active,Credit Card
46,Female,Hyderabad,High,Executive,Occasional,Credit Card,Medium,Low,Occasional,Rural,Investing,Tech,0.3252316876781838,0.08601654253701041,Daily,Inactive,Credit Card
32,Female,Delhi,High,Student,Occasional,Loan,High,Medium,Frequent,Rural,Saving,Travel,0.9607531669484962,0.9890007874127105,Monthly,Inactive,Loan
62,Female,Delhi,High,Student,Occasional,Loan,Low,Medium,Frequent,Suburban,Saving,Finance,0.5122226399073675,0.6452433423667354,Daily,Active,Loan
18,Female,Hyderabad,Medium,Executive,Rare,Credit Card,High,High,Frequent,Rural,Saving,Sports,0.007413558813959997,0.05336593543665591,Daily,Active,Credit Card
42,Male,Gujarat,High,Student,Rare,Credit Card,Low,High,Occasional,Rural,Luxury Vacation,Travel,0.3801858228700955,0.31400223192616694,Daily,Inactive,Credit Card
24,Female,Gujarat,Low,Student,Occasional,Loan,High,High,Frequent,Rural,Investing,Tech,0.00775060086557644,0.8862451489414563,Daily,Inactive,Loan
26,Female,Hyderabad,High,Executive,Rare,Loan,Medium,High,Rare,Suburban,Saving,Tech,0.23780574047244585,0.5962336043728979,Monthly,Inactive,Loan
41,Female,Jaipur,Medium,Engineer,Frequent,Credit Card,High,Low,Frequent,Suburban,Investing,Travel,0.4547000671411774,0.2872223672449151,Daily,Active,Credit Card
18,Female,Delhi,High,Software Engineer,Occasional,Loan,Medium,High,Frequent,Suburban,Luxury Vacation,Sports,0.32339305542083663,0.9404945843985141,Monthly,Inactive,Loan
61,Male,Delhi,High,Manager,Occasional,Loan,High,High,Frequent,Suburban,Luxury Vacation,Finance,0.032734212285170705,0.7872525704078219,Weekly,Active,Loan
25,Male,Hyderabad,Medium,Analyst,Frequent,Credit Card,High,Medium,Rare,Urban,Saving,Finance,0.11633572240877943,0.7355384961499478,Monthly,Active,Credit Card
41,Female,Hyderabad,High,Manager,Rare,Credit Card,Medium,High,Rare,Suburban,Saving,Finance,0.5508865612227329,0.8884271200067028,Daily,Active,Credit Card
28,Male,Jaipur,Medium,Engineer,Rare,Credit Card,Medium,Medium,Occasional,Suburban,Saving,Finance,0.6956049043844853,0.7697799447086158,Monthly,Inactive,Credit Card
34,Male,Gujarat,High,Engineer,Rare,Loan,Low,Medium,Frequent,Urban,Saving,Tech,0.4045490122329026,0.28673835319886287,Monthly,Inactive,Loan
25,Female,Mumbai,Low,Student,Occasional,Credit Card,Medium,High,Rare,Urban,Investing,Sports,0.7314817464249069,0.5838860755256079,Weekly,Inactive,Credit Card
52,Female,Gujarat,High,Manager,Occasional,Credit Card,Medium,High,Rare,Urban,Saving,Tech,0.16333288851514371,0.8422861677619633,Weekly,Active,Credit Card
52,Female,Delhi,Medium,Engineer,Occasional,Credit Card,Low,Medium,Rare,Rural,Investing,Sports,0.12205794780768608,0.1808481067228349,Weekly,Active,Credit Card
50,Female,Hyderabad,Low,Manager,Occasional,Loan,Medium,Low,Occasional,Suburban,Luxury Vacation,Finance,0.8394537159432758,0.1630232795012032,Daily,Inactive,Loan
22,Female,Jaipur,Medium,Engineer,Occasional,Credit Card,Medium,Medium,Occasional,Rural,Luxury Vacation,Travel,0.33921334849219964,0.1589762475708799,Monthly,Inactive,Credit Card
59,Male,Gujarat,High,Analyst,Rare,Credit Card,High,Low,Occasional,Urban,Investing,Travel,0.4322479219444243,0.1942552746625208,Monthly,Active,Credit Card
56,Female,Jaipur,Low,Engineer,Frequent,Loan,Low,Low,Frequent,Urban,Investing,Tech,0.9475816023172965,0.10323081561321767,Weekly,Inactive,Loan
58,Female,Gujarat,Medium,Manager,Rare,Loan,Low,High,Rare,Urban,Saving,Travel,0.4241123279371093,0.8376290199641663,Daily,Inactive,Loan
45,Female,Delhi,Low,Student,Rare,Credit Card,High,High,Occasional,Urban,Saving,Tech,0.003490105851904235,0.8183182203974839,Daily,Active,Credit Card
24,Male,Mumbai,Low,Manager,Occasional,Credit Card,Low,High,Occasional,Rural,Saving,Tech,0.9379719395498357,0.15136899185909503,Daily,Active,Credit Card
26,Female,Jaipur,Medium,Executive,Frequent,Credit Card,High,High,Rare,Urban,Luxury Vacation,Sports,0.01411863348582798,0.705537176710346,Weekly,Inactive,Credit Card
25,Female,Jaipur,Low,Manager,Frequent,Loan,Medium,Medium,Rare,Suburban,Investing,Finance,0.6622862837291981,0.6269755592099496,Daily,Active,Loan
29,Female,Mumbai,Medium,Analyst,Rare,Credit Card,Low,Low,Frequent,Suburban,Investing,Finance,0.32289090953250354,0.2761942656123614,Daily,Active,Credit Card
51,Male,Jaipur,Low,Software Engineer,Frequent,Credit Card,Medium,Medium,Frequent,Suburban,Investing,Finance,0.470390756560205,0.2273684336933195,Daily,Inactive,Credit Card
50,Female,Jaipur,Low,Analyst,Rare,Loan,Low,Low,Frequent,Rural,Investing,Finance,0.5472851676961841,0.25058585527542143,Weekly,Active,Loan
40,Female,Gujarat,Low,Analyst,Rare,Loan,Medium,Medium,Occasional,Urban,Saving,Sports,0.40846005729555424,0.7306306081068676,Weekly,Inactive,Loan
41,Female,Gujarat,High,Engineer,Rare,Credit Card,Low,Low,Occasional,Rural,Saving,Finance,0.7743687871821682,0.3193170663404509,Monthly,Active,Credit Card
54,Male,Mumbai,High,Analyst,Rare,Loan,Low,High,Rare,Suburban,Investing,Finance,0.930706409664446,0.2779592776174734,Monthly,Inactive,Loan
52,Female,Delhi,Medium,Manager,Occasional,Credit Card,Medium,Low,Frequent,Urban,Saving,Travel,0.08641205211886827,0.02248109986864888,Monthly,Active,Credit Card
61,Female,Jaipur,Low,Software Engineer,Frequent,Credit Card,High,High,Rare,Rural,Luxury Vacation,Finance,0.8002528812349731,0.9082364937765216,Weekly,Active,Credit Card
57,Female,Delhi,Medium,Student,Occasional,Loan,Low,Low,Frequent,Urban,Saving,Finance,0.12867114090064513,0.7527041444789639,Monthly,Active,Loan
39,Male,Mumbai,High,Analyst,Occasional,Loan,High,Medium,Frequent,Urban,Luxury Vacation,Tech,0.08027718324960775,0.4727836758067204,Daily,Inactive,Loan
44,Female,Mumbai,High,Manager,Occasional,Loan,High,Low,Frequent,Rural,Luxury Vacation,Tech,0.9558314527221288,0.9429269203505722,Weekly,Active,Loan
52,Female,Gujarat,High,Engineer,Rare,Loan,High,Medium,Frequent,Suburban,Investing,Finance,0.489297781491274,0.2935322117754222,Weekly,Active,Loan
18,Female,Jaipur,High,Engineer,Rare,Credit Card,High,Medium,Rare,Rural,Investing,Tech,0.1526032910092886,0.6747050431831482,Monthly,Active,Credit Card
52,Male,Hyderabad,Medium,Student,Occasional,Loan,High,High,Rare,Rural,Saving,Travel,0.5699571132170896,0.3051503776787243,Daily,Active,Loan
54,Male,Mumbai,Low,Student,Occasional,Loan,High,Low,Occasional,Suburban,Investing,Travel,0.263237138769553,0.31457242551894815,Daily,Inactive,Loan
64,Female,Jaipur,Medium,Manager,Frequent,Credit Card,Low,Medium,Frequent,Rural,Luxury Vacation,Travel,0.4643090168079942,0.8447091667152699,Weekly,Active,Credit Card
31,Male,Delhi,Low,Student,Occasional,Credit Card,High,Low,Rare,Urban,Luxury Vacation,Sports,0.6246595938799103,0.7870219534558307,Weekly,Active,Credit Card
20,Male,Gujarat,High,Student,Rare,Credit Card,Low,High,Frequent,Suburban,Saving,Travel,0.8692698288699947,0.2941074306573488,Monthly,Active,Credit Card
18,Male,Delhi,Low,Engineer,Occasional,Loan,Low,High,Frequent,Rural,Luxury Vacation,Finance,0.003081398269308311,0.0813895156665938,Daily,Active,Loan
22,Female,Mumbai,High,Manager,Frequent,Credit Card,Low,Low,Occasional,Urban,Investing,Travel,0.21414066091594874,0.3575841395911985,Weekly,Inactive,Credit Card
43,Female,Mumbai,Medium,Software Engineer,Frequent,Loan,Medium,Medium,Occasional,Suburban,Saving,Travel,0.09627054291877957,0.7600575354853153,Daily,Active,Loan
31,Male,Delhi,Low,Student,Occasional,Loan,High,Medium,Rare,Rural,Saving,Travel,0.0970977015590625,0.10054436118500654,Weekly,Inactive,Loan
56,Male,Mumbai,Medium,Manager,Frequent,Loan,Medium,Medium,Rare,Suburban,Saving,Travel,0.9457774131399048,0.6721008647232525,Monthly,Inactive,Loan
44,Male,Jaipur,High,Analyst,Frequent,Loan,High,Low,Occasional,Urban,Investing,Tech,0.9360829345150524,0.8897632599139048,Weekly,Inactive,Loan
26,Female,Mumbai,Medium,Engineer,Rare,Credit Card,Medium,Medium,Rare,Urban,Luxury Vacation,Travel,0.7493080797012331,0.1792271556050471,Weekly,Active,Credit Card
32,Female,Gujarat,High,Software Engineer,Frequent,Credit Card,Low,Medium,Rare,Suburban,Investing,Travel,0.6430630424009155,0.8622043242862039,Weekly,Inactive,Credit Card
32,Male,Jaipur,High,Engineer,Frequent,Credit Card,Medium,Medium,Occasional,Urban,Saving,Tech,0.847970446357703,0.05136388245689105,Monthly,Active,Credit Card
43,Male,Hyderabad,High,Engineer,Occasional,Credit Card,Low,High,Frequent,Urban,Luxury Vacation,Tech,0.05840873809056757,0.6668802580905634,Monthly,Inactive,Credit Card
59,Male,Mumbai,Medium,Executive,Rare,Credit Card,Medium,Medium,Frequent,Suburban,Saving,Sports,0.11948579310122842,0.7910389203758728,Monthly,Active,Credit Card
30,Male,Mumbai,Medium,Manager,Frequent,Loan,High,Low,Occasional,Suburban,Investing,Finance,0.317112923296334,0.44476611765933227,Weekly,Active,Loan
49,Female,Gujarat,Low,Analyst,Occasional,Loan,High,Low,Frequent,Rural,Saving,Sports,0.8324923798965135,0.20372869481351352,Weekly,Active,Loan
56,Male,Gujarat,Low,Student,Occasional,Loan,Medium,Medium,Frequent,Rural,Investing,Tech,0.47223254276651017,0.9247294989035056,Daily,Inactive,Loan
49,Female,Delhi,Medium,Analyst,Occasional,Loan,Medium,Low,Occasional,Suburban,Saving,Tech,0.5035747634376183,0.01996886860316882,Monthly,Active,Loan
21,Male,Delhi,Medium,Manager,Occasional,Credit Card,High,Low,Rare,Urban,Saving,Tech,0.22926542965380758,0.5550712292295324,Monthly,Inactive,Credit Card
47,Male,Delhi,Medium,Engineer,Occasional,Loan,Medium,Medium,Occasional,Urban,Saving,Sports,0.6483874811735261,0.37284940870503225,Weekly,Active,Loan
54,Male,Gujarat,Medium,Executive,Occasional,Loan,Medium,High,Occasional,Suburban,Investing,Travel,0.8878421540622642,0.46105719548104573,Monthly,Active,Loan
40,Male,Delhi,High,Manager,Frequent,Loan,High,Medium,Frequent,Suburban,Investing,Finance,0.3295142198584675,0.5365650562788958,Daily,Active,Loan
56,Male,Delhi,High,Software Engineer,Rare,Loan,Low,Low,Occasional,Suburban,Investing,Finance,0.6191859397698841,0.5347486222665088,Monthly,Inactive,Loan
62,Female,Hyderabad,High,Software Engineer,Rare,Loan,High,Low,Frequent,Urban,Investing,Travel,0.33194896411182206,0.20362366375643204,Monthly,Inactive,Loan
32,Male,Delhi,Medium,Manager,Occasional,Loan,High,Medium,Occasional,Rural,Investing,Finance,0.7927191118343301,0.6797023229000433,Monthly,Active,Loan
60,Male,Mumbai,High,Student,Occasional,Credit Card,Medium,Low,Rare,Rural,Luxury Vacation,Travel,0.4749597369923172,0.019148291192146116,Daily,Active,Credit Card
46,Male,Gujarat,High,Analyst,Rare,Credit Card,High,High,Frequent,Urban,Saving,Sports,0.33946902221970465,0.02118409421285672,Daily,Active,Credit Card
53,Female,Jaipur,Low,Analyst,Frequent,Loan,High,Medium,Occasional,Rural,Investing,Tech,0.4200488542112919,0.47848734127830994,Monthly,Active,Loan
30,Female,Hyderabad,Low,Student,Occasional,Loan,Medium,Low,Frequent,Suburban,Luxury Vacation,Travel,0.09122752139622825,0.5419028802702759,Daily,Active,Loan
49,Female,Gujarat,High,Executive,Rare,Loan,Medium,High,Occasional,Suburban,Luxury Vacation,Travel,0.8661171533224405,0.2748894817002604,Weekly,Active,Loan
24,Female,Gujarat,High,Engineer,Rare,Loan,Low,Low,Occasional,Urban,Saving,Tech,0.9580690553381048,0.5516755336268335,Monthly,Inactive,Loan
39,Male,Mumbai,High,Engineer,Occasional,Loan,High,High,Occasional,Urban,Saving,Tech,0.47741417973541656,0.5161092329855901,Daily,Active,Loan
